,fuel,test_year,age,percentage
0,car_hev,2010,0,1.0
1,car_hev,2010,1,0.9908515130190008
2,car_hev,2010,2,0.9972862957937584
3,car_hev,2010,3,0.98124191461837
4,car_hev,2011,0,1.0
5,car_hev,2011,1,0.9730357973035796
6,car_hev,2011,2,0.9704433497536944
7,car_hev,2011,3,0.94640434192673
8,car_hev,2011,4,0.9528127585425089
9,car_hev,2012,0,1.0
10,car_hev,2012,1,0.9766187050359711
11,car_hev,2012,2,0.9795443979544396
12,car_hev,2012,3,0.9514426460239268
13,car_hev,2012,4,0.923042742701989
14,car_hev,2012,5,0.9369412665001569
15,car_hev,2013,0,1.0
16,car_hev,2013,1,0.9937050359712232
17,car_hev,2013,2,0.9977517985611511
18,car_hev,2013,3,0.9567642956764294
19,car_hev,2013,4,0.9403285132381246
20,car_hev,2013,5,0.9142172496615313
21,car_hev,2013,6,0.9299647864815408
22,car_hev,2014,0,1.0
23,car_hev,2014,1,0.966919091271423
24,car_hev,2014,2,0.9788669064748202
25,car_hev,2014,3,0.954136690647482
26,car_hev,2014,4,0.9494876290508236
27,car_hev,2014,5,0.9346803473961594
28,car_hev,2014,6,0.9059109032705122
29,car_hev,2014,7,0.9221162464605975
30,car_hev,2015,0,1.0
31,car_hev,2015,1,0.976241242765763
32,car_hev,2015,2,0.9569549621363094
33,car_hev,2015,3,0.9608812949640289
34,car_hev,2015,4,0.9459709388512889
35,car_hev,2015,5,0.9435019839233091
36,car_hev,2015,6,0.9275745903691711
37,car_hev,2015,7,0.8969123613469083
38,car_hev,2015,8,0.9133956464373273
39,car_hev,2016,0,1.0
40,car_hev,2016,1,0.9850785340314137
41,car_hev,2016,2,0.9692354553761804
42,car_hev,2016,3,0.9390195296931048
43,car_hev,2016,4,0.9418693498939759
44,car_hev,2016,5,0.9285925440029805
45,car_hev,2016,6,0.9235498334982609
46,car_hev,2016,7,0.9126342807226829
47,car_hev,2016,8,0.8789152774997003
48,car_hev,2016,9,0.8898500263744975
49,car_hev,2018,0,1.0
50,car_hev,2018,1,0.9942589515032484
51,car_hev,2018,2,0.9737013692675504
52,car_hev,2018,3,0.938743455497382
53,car_hev,2018,4,0.9238641988968298
54,car_hev,2018,5,0.9115810264215154
55,car_hev,2018,6,0.9193391801134506
56,car_hev,2018,7,0.903885910363217
57,car_hev,2018,8,0.8944431669958376
58,car_hev,2018,9,0.8811138713465552
59,car_hev,2018,10,0.8391140343760676
60,car_hev,2018,11,0.8493864422665236
61,car_hev,2019,0,0.9604531001589824
62,car_hev,2019,1,0.9882020400639056
63,car_hev,2019,2,0.9820214533917512
64,car_hev,2019,3,0.9465333623125408
65,car_hev,2019,4,0.9226936752088043
66,car_hev,2019,5,0.9117677215387959
67,car_hev,2019,6,0.900839144289659
68,car_hev,2019,7,0.9096640621596513
69,car_hev,2019,8,0.8919513500457039
70,car_hev,2019,9,0.8781293498835923
71,car_hev,2019,10,0.8607075947562295
72,car_hev,2019,11,0.8147141418524492
73,car_hev,2019,12,0.822003758193455
74,car_hev,2020,0,0.9679001962433416
75,car_hev,2020,1,0.9440580286168522
76,car_hev,2020,2,0.9587071402236697
77,car_hev,2020,3,0.9193231605982778
78,car_hev,2020,4,0.935124707142728
79,car_hev,2020,5,0.9153917481405776
80,car_hev,2020,6,0.9055320726471897
81,car_hev,2020,7,0.893600049809495
82,car_hev,2020,8,0.9012067912210155
83,car_hev,2020,9,0.8817965048632588
84,car_hev,2020,10,0.8608766080454624
85,car_hev,2020,11,0.8433986994340783
86,car_hev,2020,12,0.7960248624726564
87,car_hev,2020,13,0.797062842126902
88,car_hev,2021,0,0.95526269393512
89,car_hev,2021,1,1.0
90,car_hev,2021,2,0.9673092209856916
91,car_hev,2021,3,0.949489984023596
92,car_hev,2021,4,0.9096256216383689
93,car_hev,2021,5,0.9280930848622216
94,car_hev,2021,6,0.9102346115313348
95,car_hev,2021,7,0.8992964237555834
96,car_hev,2021,8,0.8871782724480591
97,car_hev,2021,9,0.8921405967747982
98,car_hev,2021,10,0.8714322814296293
99,car_hev,2021,11,0.8438585973888036
100,car_hev,2021,12,0.824450014028776
101,car_hev,2021,13,0.7742207031962315
102,car_hev,2021,14,0.768633686051041
103,car_hev,2022,0,1.0
104,car_hev,2022,1,1.0
105,car_hev,2022,2,0.995864872441828
106,car_hev,2022,3,0.9973171701112878
107,car_hev,2022,4,0.9345223344235888
108,car_hev,2022,5,0.8984972982417523
109,car_hev,2022,6,0.9183258170258987
110,car_hev,2022,7,0.9010047829269425
111,car_hev,2022,8,0.8899259131261206
112,car_hev,2022,9,0.8749185156671363
113,car_hev,2022,10,0.8759026365726178
114,car_hev,2022,11,0.8548913995860585
115,car_hev,2022,12,0.8230848878286064
116,car_hev,2022,13,0.7996709638833809
117,car_hev,2022,14,0.7454945885939573
118,car_hev,2022,15,0.7327048139551674
119,car_bev,2015,0,1.0
120,car_bev,2015,1,0.9047619047619048
121,car_bev,2015,2,0.8346153846153845
122,car_bev,2015,3,0.73125
123,car_bev,2016,0,1.0
124,car_bev,2016,1,0.9279749478079332
125,car_bev,2016,2,0.8294930875576038
126,car_bev,2016,3,0.7653846153846153
127,car_bev,2016,4,0.7108038651315788
128,car_bev,2018,0,1.0
129,car_bev,2018,1,0.9632132132132132
130,car_bev,2018,2,0.918081918081918
131,car_bev,2018,3,0.8486430062630481
132,car_bev,2018,4,0.8275151341969351
133,car_bev,2018,5,0.7320279166158723
134,car_bev,2018,6,0.6699115953947369
135,car_bev,2019,0,1.0
136,car_bev,2019,1,0.9405940594059404
137,car_bev,2019,2,0.9166666666666669
138,car_bev,2019,3,0.868131868131868
139,car_bev,2019,4,0.835426534240949
140,car_bev,2019,5,0.8162279866226398
141,car_bev,2019,6,0.7198982079726929
142,car_bev,2019,7,0.6566817434210526
143,car_bev,2020,0,1.0
144,car_bev,2020,1,0.9708208344695936
145,car_bev,2020,2,0.9148514851485148
146,car_bev,2020,3,0.8581081081081081
147,car_bev,2020,4,0.8605699434523506
148,car_bev,2020,5,0.8260901273996494
149,car_bev,2020,6,0.8078671365676066
150,car_bev,2020,7,0.7114074119224675
151,car_bev,2020,8,0.6410464638157894
152,car_bev,2021,0,1.0
153,car_bev,2021,1,0.9762631077216396
154,car_bev,2021,2,0.9566403054267792
155,car_bev,2021,3,0.9108910891089108
156,car_bev,2021,4,0.8534166079620625
157,car_bev,2021,5,0.8543829141691092
158,car_bev,2021,6,0.8202700296284497
159,car_bev,2021,7,0.800760414020828
160,car_bev,2021,8,0.7047360721687187
161,car_bev,2021,9,0.6290193256578948
162,car_bev,2022,0,1.0
163,car_bev,2022,1,0.9689286870212536
164,car_bev,2022,2,0.9351763584366062
165,car_bev,2022,3,0.9040087264794108
166,car_bev,2022,4,0.894078856554857
167,car_bev,2022,5,0.8411968866514321
168,car_bev,2022,6,0.8426963033007641
169,car_bev,2022,7,0.8064472974218507
170,car_bev,2022,8,0.784247735162137
171,car_bev,2022,9,0.6841155674753139
172,car_bev,2022,10,0.6013569078947367
173,car_diesel,2010,0,0.9970085470085472
174,car_diesel,2010,1,1.0
175,car_diesel,2010,2,0.9930263034728072
176,car_diesel,2010,3,0.9742436448263516
177,car_diesel,2010,4,0.9627001464401088
178,car_diesel,2010,5,0.9256093555126801
179,car_diesel,2010,6,0.9001774455537633
180,car_diesel,2010,7,0.8643639438858368
181,car_diesel,2010,8,0.8186858834442543
182,car_diesel,2010,9,0.7465718313150574
183,car_diesel,2010,10,0.6540435849207602
184,car_diesel,2010,11,0.5396869527149664
185,car_diesel,2010,12,0.4148026097244392
186,car_diesel,2010,13,0.3241035796314867
187,car_diesel,2010,14,0.24827623467341176
188,car_diesel,2010,15,0.18595395028256792
189,car_diesel,2010,16,0.13907672480686684
190,car_diesel,2011,0,0.9960180017207528
191,car_diesel,2011,1,1.0
192,car_diesel,2011,2,0.9940839942790274
193,car_diesel,2011,3,0.9590938874847889
194,car_diesel,2011,4,0.9581456891008426
195,car_diesel,2011,5,0.9469449965139264
196,car_diesel,2011,6,0.9061687130971996
197,car_diesel,2011,7,0.8730605542062925
198,car_diesel,2011,8,0.8272125123852538
199,car_diesel,2011,9,0.7673859419116251
200,car_diesel,2011,10,0.6725047133958315
201,car_diesel,2011,11,0.5598006790054371
202,car_diesel,2011,12,0.44054632708076424
203,car_diesel,2011,13,0.31994951520172654
204,car_diesel,2011,14,0.24130020726835152
205,car_diesel,2011,15,0.18136929640153499
206,car_diesel,2011,16,0.13454549607504784
207,car_diesel,2011,17,0.09923008359135724
208,car_diesel,2012,0,0.9952620453385814
209,car_diesel,2012,1,1.0
210,car_diesel,2012,2,0.996939246939247
211,car_diesel,2012,3,0.9643999479911584
212,car_diesel,2012,4,0.9407971944707741
213,car_diesel,2012,5,0.9442000140516958
214,car_diesel,2012,6,0.9281367462364178
215,car_diesel,2012,7,0.8808987410855599
216,car_diesel,2012,8,0.8380751842088409
217,car_diesel,2012,9,0.778888621290316
218,car_diesel,2012,10,0.7043481972429981
219,car_diesel,2012,11,0.5897138387447485
220,car_diesel,2012,12,0.46417295881671217
221,car_diesel,2012,13,0.35237636895250807
222,car_diesel,2012,14,0.24543692816795407
223,car_diesel,2012,15,0.1781407995090867
224,car_diesel,2012,16,0.13228910584475911
225,car_diesel,2012,17,0.09929150978615033
226,car_diesel,2012,18,0.07253388812091331
227,car_diesel,2013,0,1.0
228,car_diesel,2013,1,1.0
229,car_diesel,2013,2,0.9993050806327076
230,car_diesel,2013,3,0.9654770154770156
231,car_diesel,2013,4,0.9468678089015256
232,car_diesel,2013,5,0.9248563219774205
233,car_diesel,2013,6,0.9273625567604622
234,car_diesel,2013,7,0.9051636062343645
235,car_diesel,2013,8,0.8500342160135594
236,car_diesel,2013,9,0.7951391275755133
237,car_diesel,2013,10,0.7217348830966139
238,car_diesel,2013,11,0.6317799588492725
239,car_diesel,2013,12,0.5050207004729687
240,car_diesel,2013,13,0.37615752072480785
