,fuel,reg_year,mileage,percentage,mileage_stderr
0,car_hev,2007,96282.09724358976,0.9954105048444672,3583.0048321728727
1,car_hev,2007,120881.36809815951,0.9423763386027536,5056.755646709517
2,car_hev,2007,145354.75499999998,0.9141594424613292,14782.27651495696
3,car_hev,2007,143437.83825,0.8992010878803331,12737.456418107384
4,car_hev,2007,159232.29155555557,0.8905320414754377,9065.96135896045
5,car_hev,2007,171079.1796,0.8871324154343022,9625.835157173227
6,car_hev,2007,209722.55940740742,0.8737038925718171,9427.348351972456
7,car_hev,2007,228677.67795620437,0.8352881183069862,8647.484654062995
8,car_hev,2007,252967.67559748428,0.8075811660717321,8163.746872942849
9,car_hev,2007,266219.66619047616,0.7428182899881013,8940.937929327147
10,car_hev,2007,249264.96522988507,0.7450280469148394,8595.211246606108
11,car_hev,2007,251763.04444117652,0.7290498045215026,5952.338745976861
12,car_hev,2008,95917.1330396476,0.9898683212704696,2941.6818798213094
13,car_hev,2008,121857.38185185185,0.9217264622774696,4543.573090604744
14,car_hev,2008,112121.06294117648,0.9051654028766392,8591.697497523577
15,car_hev,2008,132778.73714285714,0.8946422297156946,10965.100603587396
16,car_hev,2008,193523.17653846153,0.8905019648654872,14031.65046570213
17,car_hev,2008,201740.22981132078,0.8779086592794388,10039.178690416536
18,car_hev,2008,270939.4230508475,0.834953411458535,11008.383824857747
19,car_hev,2008,284256.72464788734,0.813217020994945,10714.55471254994
20,car_hev,2008,294694.2509259259,0.7538732248086359,13089.51867458556
21,car_hev,2008,274141.64462686575,0.7574959565525675,11235.294408224183
22,car_hev,2008,254840.9645422535,0.7521481144543828,6900.155979526558
23,car_hev,2009,93612.23077669903,0.9657829273130598,5273.8751452799015
24,car_hev,2009,104770.82790322581,0.920254185008398,7056.688247077115
25,car_hev,2009,104274.97387096778,0.9121880692457612,10989.192948363696
26,car_hev,2009,163974.45435897438,0.9071691527712316,10935.546223382189
27,car_hev,2009,161461.0225301205,0.8964143317543823,9481.527737363378
28,car_hev,2009,272079.92393258424,0.8643291157207822,13010.724901730204
29,car_hev,2009,301759.808,0.8512440834836156,12705.827082034813
30,car_hev,2009,283817.32298969076,0.7938850380604198,13301.367828336293
31,car_hev,2009,281723.6080373832,0.8008756717213716,12758.149983097934
32,car_hev,2009,269148.19261029415,0.7919133208739975,8041.2844632768465
33,car_hev,2010,99429.89468899522,0.972267980424534,4460.556829260701
34,car_hev,2010,86869.6014516129,0.9232965354613596,6765.396248646009
35,car_hev,2010,127520.26673076922,0.9198315747328332,10487.048929469263
36,car_hev,2010,146591.42811764707,0.913017151966731,7048.594631430036
37,car_hev,2010,217876.44099099105,0.8744405891891359,10491.672572880845
38,car_hev,2010,270491.011048951,0.8588482659107668,11785.541380062363
39,car_hev,2010,291065.46,0.8072203510557221,10214.980247508094
40,car_hev,2010,298757.3588461539,0.8135727790580206,11375.168774552569
41,car_hev,2010,277301.7506733167,0.8076823458195256,6894.477724794634
42,car_hev,2011,93595.2858974359,0.9928129647363568,6436.181992356011
43,car_hev,2011,106478.7185,0.9647904510782852,7331.255220672636
44,car_hev,2011,106156.08870588239,0.9580263960573712,4380.809630054256
45,car_hev,2011,161482.66302325582,0.9174420659318882,8625.351450125934
46,car_hev,2011,187142.06538461536,0.905953908991606,9004.774094058539
47,car_hev,2011,216922.32401960786,0.8713820722180462,12526.428110162851
48,car_hev,2011,252589.75453703702,0.8799713484350796,13158.317080754918
49,car_hev,2011,233467.1179093199,0.8665506043459649,6585.846345488464
50,car_hev,2012,71609.43761904763,0.9762998297014562,3448.09721613011
51,car_hev,2012,92196.43756944446,0.9452246898133668,2834.8319538947408
52,car_hev,2012,121077.61568000002,0.9071914207764225,5828.389371361905
53,car_hev,2012,150083.51630136988,0.8996252997601919,6537.51130674177
54,car_hev,2012,169254.19328125002,0.866793738921906,8446.200766568658
55,car_hev,2012,191602.4045637584,0.8753056250651653,8375.618423064458
56,car_hev,2012,203982.9317785235,0.8716576738609113,4816.81524122799
57,car_hev,2013,82565.50048895899,0.9518129313027917,1851.307116876627
58,car_hev,2013,115156.88283687943,0.889839947749574,3760.026965857704
59,car_hev,2013,150045.27925266905,0.8818582879482927,5190.424415207135
60,car_hev,2013,169073.5607731959,0.8465164193089656,6804.668780579224
61,car_hev,2013,194248.20470588235,0.8545364524746761,7540.203111356736
62,car_hev,2013,169286.81797794122,0.8544980791102469,3380.559091645057
63,car_hev,2014,103407.34933085501,0.9159040759318092,2904.758899085499
64,car_hev,2014,118061.98435967304,0.8975650933668673,3790.927273588291
65,car_hev,2014,146238.57876923078,0.8646628011180012,6333.32369039968
66,car_hev,2014,168032.750990099,0.8743716742406173,7627.5024090090465
67,car_hev,2014,141622.5180613497,0.872618683260145,3027.668987195449
68,car_hev,2015,73695.3064633141,0.966319421432832,1283.6907961595016
69,car_hev,2015,96650.13270893371,0.9176052945233284,2317.4262767612854
70,car_hev,2015,110194.63811912226,0.8773819607826894,3891.201787557396
71,car_hev,2015,118850.80292181073,0.888870915381238,4989.898208963514
72,car_hev,2015,130265.45190431521,0.8884871507182385,2567.8085262121
73,car_hev,2016,68916.8839665272,0.9688320542361452,1234.705414091395
74,car_hev,2016,87219.51130730052,0.9035104961592448,2135.529475424194
75,car_hev,2016,103691.11264150943,0.9124813504079744,3507.0905969214778
76,car_hev,2016,101313.12892885692,0.909693111925261,1857.6480463882106
77,car_hev,2017,73602.48928229665,0.9753311143582668,1131.4183114871548
78,car_hev,2017,92367.38705982905,0.928553430543768,2119.599809253847
79,car_hev,2017,88114.05943937419,0.922774581841821,1394.707932564106
80,car_hev,2018,68963.46514745308,0.9538722819655174,1194.0017843925223
81,car_hev,2018,74713.83696387394,0.927947438546804,941.2772955461122
82,car_hev,2019,55138.939766265066,0.9631932864277516,591.5843682993504
83,car_bev,2012,28260.091481481486,0.7999999999999999,3177.9493461931443
84,car_bev,2012,46418.95176470588,0.7213517665130568,8180.989047614054
85,car_bev,2012,59048.27526315789,0.6906298003072195,7635.976871583767
86,car_bev,2012,57457.948333333334,0.6734254992319507,8290.2189725207
87,car_bev,2012,77168.91,0.61321044546851,11240.963287167164
88,car_bev,2012,86232.91727272728,0.6267281105990783,15689.452033347761
89,car_bev,2012,96868.47644444446,0.6193548387096773,6688.610919508103
90,car_bev,2013,42235.37337209303,0.8340021477420447,2292.38154232733
91,car_bev,2013,55714.200937500005,0.7389504323743853,5468.412526896376
92,car_bev,2013,73859.31350000002,0.7260724580342507,13845.40696206502
93,car_bev,2013,73444.75,0.6764002712937319,13637.568682245155
94,car_bev,2013,131778.62384615385,0.6929576668739049,21550.976703347253
